question_id,system,rater,rater_profession,domain,score
1,ChatGPT,R1,physician,Accuracy,4
1,ChatGPT,R1,physician,Clarity,4
1,ChatGPT,R1,physician,Comparison,2
1,ChatGPT,R1,physician,Confidence,4
1,ChatGPT,R1,physician,Relevance,5
1,ChatGPT,R1,physician,Safety,1
1,ChatGPT,R1,physician,Trust,4
1,ChatGPT,R2,nurse,Accuracy,3
1,ChatGPT,R2,nurse,Clarity,3
1,ChatGPT,R2,nurse,Comparison,2
1,ChatGPT,R2,nurse,Confidence,3
1,ChatGPT,R2,nurse,Relevance,3
1,ChatGPT,R2,nurse,Safety,0
1,ChatGPT,R2,nurse,Trust,3
1,ChatGPT,R3,pharmacist,Accuracy,3
1,ChatGPT,R3,pharmacist,Clarity,3
1,ChatGPT,R3,pharmacist,Comparison,2
1,ChatGPT,R3,pharmacist,Confidence,3
1,ChatGPT,R3,pharmacist,Relevance,4
1,ChatGPT,R3,pharmacist,Safety,1
1,ChatGPT,R3,pharmacist,Trust,4
1,ChatGPT,R4,pharmacist,Accuracy,5
1,ChatGPT,R4,pharmacist,Clarity,4
1,ChatGPT,R4,pharmacist,Comparison,4
1,ChatGPT,R4,pharmacist,Confidence,4
1,ChatGPT,R4,pharmacist,Relevance,5
1,ChatGPT,R4,pharmacist,Safety,1
1,ChatGPT,R4,pharmacist,Trust,4
1,ChatGPT,R5,pharmacist,Accuracy,4
1,ChatGPT,R5,pharmacist,Clarity,5
1,ChatGPT,R5,pharmacist,Comparison,2
1,ChatGPT,R5,pharmacist,Confidence,5
1,ChatGPT,R5,pharmacist,Relevance,5
1,ChatGPT,R5,pharmacist,Safety,1
1,ChatGPT,R5,pharmacist,Trust,5
1,ChatGPT,R6,nurse,Accuracy,5
1,ChatGPT,R6,nurse,Clarity,5
1,ChatGPT,R6,nurse,Comparison,3
1,ChatGPT,R6,nurse,Confidence,5
1,ChatGPT,R6,nurse,Relevance,5
1,ChatGPT,R6,nurse,Safety,1
1,ChatGPT,R6,nurse,Trust,5
1,ChatGPT,R7,pharmacist,Accuracy,4
1,ChatGPT,R7,pharmacist,Clarity,5
1,ChatGPT,R7,pharmacist,Comparison,3
1,ChatGPT,R7,pharmacist,Confidence,5
1,ChatGPT,R7,pharmacist,Relevance,5
1,ChatGPT,R7,pharmacist,Safety,1
1,ChatGPT,R7,pharmacist,Trust,5
1,ChatGPT,R8,physician,Accuracy,3
1,ChatGPT,R8,physician,Clarity,5
1,ChatGPT,R8,physician,Comparison,2
1,ChatGPT,R8,physician,Confidence,5
1,ChatGPT,R8,physician,Relevance,4
1,ChatGPT,R8,physician,Safety,1
1,ChatGPT,R8,physician,Trust,5
1,ChatICU,R1,physician,Accuracy,5
1,ChatICU,R1,physician,Clarity,5
1,ChatICU,R1,physician,Comparison,3
1,ChatICU,R1,physician,Confidence,4
1,ChatICU,R1,physician,Relevance,5
1,ChatICU,R1,physician,Safety,1
1,ChatICU,R1,physician,Trust,5
1,ChatICU,R2,nurse,Accuracy,5
1,ChatICU,R2,nurse,Clarity,5
1,ChatICU,R2,nurse,Comparison,4
1,ChatICU,R2,nurse,Confidence,5
1,ChatICU,R2,nurse,Relevance,5
1,ChatICU,R2,nurse,Safety,1
1,ChatICU,R2,nurse,Trust,5
1,ChatICU,R3,pharmacist,Accuracy,4
1,ChatICU,R3,pharmacist,Clarity,4
1,ChatICU,R3,pharmacist,Comparison,3
1,ChatICU,R3,pharmacist,Confidence,4
1,ChatICU,R3,pharmacist,Relevance,4
1,ChatICU,R3,pharmacist,Safety,1
1,ChatICU,R3,pharmacist,Trust,4
1,ChatICU,R4,pharmacist,Accuracy,5
1,ChatICU,R4,pharmacist,Clarity,5
1,ChatICU,R4,pharmacist,Comparison,4
1,ChatICU,R4,pharmacist,Confidence,4
1,ChatICU,R4,pharmacist,Relevance,5
1,ChatICU,R4,pharmacist,Safety,1
1,ChatICU,R4,pharmacist,Trust,5
1,ChatICU,R5,pharmacist,Accuracy,5
1,ChatICU,R5,pharmacist,Clarity,5
1,ChatICU,R5,pharmacist,Comparison,3
1,ChatICU,R5,pharmacist,Confidence,5
1,ChatICU,R5,pharmacist,Relevance,5
1,ChatICU,R5,pharmacist,Safety,1
1,ChatICU,R5,pharmacist,Trust,5
1,ChatICU,R6,nurse,Accuracy,5
1,ChatICU,R6,nurse,Clarity,4
1,ChatICU,R6,nurse,Comparison,4
1,ChatICU,R6,nurse,Confidence,5
1,ChatICU,R6,nurse,Relevance,4
1,ChatICU,R6,nurse,Safety,1
1,ChatICU,R6,nurse,Trust,5
1,ChatICU,R7,pharmacist,Accuracy,4
