question_id,system,blind_id,mention_id,mention_type,drug,class,severity_label
1,ChatGPT,B121,B121-M01,stated,Propofol,imprecise,
1,ChatGPT,B121,B121-O01,omitted,Propofol,omitted_but_needed,
1,ChatGPT,B121,B121-O02,omitted,Propofol,omitted_but_needed,
1,ChatICU,B059,B059-M01,stated,Propofol,correct,
1,ChatICU,B059,B059-M02,stated,Propofol,correct,
1,ChatICU,B059,B059-O01,omitted,Propofol,omitted_but_needed,
1,OpenEvidence,B147,B147-M01,stated,Propofol,correct,
1,OpenEvidence,B147,B147-M02,stated,Propofol,correct,
1,OpenEvidence,B147,B147-M03,stated,Fentanyl,correct,
1,OpenEvidence,B147,B147-O01,omitted,Propofol,omitted_but_needed,
2,ChatGPT,B026,B026-M01,stated,lorazepam,imprecise,
2,ChatGPT,B026,B026-O01,omitted,lorazepam,omitted_but_needed,
2,ChatICU,B089,B089-M01,stated,lorazepam,correct,
2,ChatICU,B089,B089-M02,stated,lorazepam,correct,
2,ChatICU,B089,B089-M03,stated,propylene glycol (osmolar gap),correct,
2,OpenEvidence,B085,B085-M01,stated,lorazepam,correct,
2,OpenEvidence,B085,B085-M02,stated,lorazepam,incorrect,Mild
2,OpenEvidence,B085,B085-O01,omitted,lorazepam,omitted_but_needed,
3,ChatGPT,B104,B104-M01,stated,midazolam,correct,
3,ChatGPT,B104,B104-M02,stated,cisatracurium,correct,
3,ChatGPT,B104,B104-M03,stated,cisatracurium,correct,
3,ChatICU,B028,B028-M01,stated,RASS目標,correct,
3,OpenEvidence,B124,B124-M01,stated,RASS目標,correct,
5,OpenEvidence,B101,B101-O01,omitted,鴉片類止痛藥 (opioids)靜脈輸注（如原本使用之oxycodone/tramadol相應之靜脈鴉片類藥物）,omitted_but_needed,
6,ChatGPT,B159,B159-O01,omitted,Midazolam,omitted_but_needed,
6,OpenEvidence,B074,B074-M01,stated,Diazepam,imprecise,
6,OpenEvidence,B074,B074-M02,stated,Lorazepam,imprecise,
6,OpenEvidence,B074,B074-O01,omitted,Midazolam,omitted_but_needed,
7,ChatGPT,B071,B071-O01,omitted,Piperacillin-tazobactam,omitted_but_needed,
7,OpenEvidence,B182,B182-O01,omitted,Piperacillin-tazobactam,omitted_but_needed,
8,ChatGPT,B178,B178-O01,omitted,無（非藥物劑量議題）,omitted_but_needed,
10,ChatGPT,B076,B076-M01,stated,fentanyl,correct,
10,ChatICU,B185,B185-M01,stated,fentanyl,correct,
10,OpenEvidence,B009,B009-M01,stated,fentanyl,correct,
11,ChatGPT,B036,B036-O01,omitted,fentanyl,omitted_but_needed,
11,OpenEvidence,B017,B017-M01,stated,midazolam,unsafe,Severe
11,OpenEvidence,B017,B017-M02,stated,fentanyl,unsafe,Severe
11,OpenEvidence,B017,B017-O01,omitted,midazolam,omitted_but_needed,
11,OpenEvidence,B017,B017-O02,omitted,fentanyl,omitted_but_needed,
12,ChatGPT,B011,B011-M01,stated,lorazepam,imprecise,
12,ChatGPT,B011,B011-O01,omitted,midazolam,omitted_but_needed,
12,ChatGPT,B011,B011-O02,omitted,citalopram,omitted_but_needed,
12,ChatICU,B188,B188-O01,omitted,citalopram/fentanyl交互作用,omitted_but_needed,
12,ChatICU,B188,B188-O02,omitted,citalopram/dexmedetomidine QT監測,omitted_but_needed,
12,ChatICU,B188,B188-O03,omitted,dexmedetomidine,omitted_but_needed,
12,OpenEvidence,B044,B044-M01,stated,dexmedetomidine,unsafe,Moderate
12,OpenEvidence,B044,B044-M02,stated,fentanyl,imprecise,
12,OpenEvidence,B044,B044-O01,omitted,midazolam,omitted_but_needed,
12,OpenEvidence,B044,B044-O02,omitted,citalopram,omitted_but_needed,
13,ChatGPT,B082,B082-M01,stated,dexmedetomidine,correct,
13,OpenEvidence,B119,B119-M01,stated,dexmedetomidine,incorrect,Moderate
13,OpenEvidence,B119,B119-O01,omitted,dexmedetomidine,omitted_but_needed,
14,ChatGPT,B139,B139-M01,stated,fentanyl,correct,
14,ChatGPT,B139,B139-O01,omitted,hydrocortisone,omitted_but_needed,
14,ChatGPT,B139,B139-O02,omitted,fentanyl,omitted_but_needed,
14,ChatICU,B006,B006-M01,stated,fentanyl,correct,
14,ChatICU,B006,B006-O01,omitted,fentanyl/疼痛評估工具,omitted_but_needed,
14,OpenEvidence,B137,B137-M01,stated,fentanyl,correct,
14,OpenEvidence,B137,B137-M02,stated,hydrocortisone,unsafe,Severe
14,OpenEvidence,B137,B137-O01,omitted,hydrocortisone,omitted_but_needed,
15,ChatICU,B054,B054-O01,omitted,cisatracurium,omitted_but_needed,
15,OpenEvidence,B113,B113-M01,stated,俯臥位治療,correct,
15,OpenEvidence,B113,B113-M02,stated,NMBA（如cisatracurium）,correct,
16,ChatGPT,B005,B005-O01,omitted,NMBA（神經肌肉阻斷劑）,omitted_but_needed,
16,ChatICU,B154,B154-M01,stated,NMBA（未指名具體藥物）,imprecise,
16,ChatICU,B154,B154-O01,omitted,刺激電流（mA）基準,omitted_but_needed,
16,OpenEvidence,B040,B040-M01,stated,潮氣量,correct,
16,OpenEvidence,B040,B040-M02,stated,PEEP,correct,
16,OpenEvidence,B040,B040-M03,stated,FiO2,correct,
16,OpenEvidence,B040,B040-M04,stated,NMBA持續使用時限,imprecise,
16,OpenEvidence,B040,B040-O01,omitted,NMBA,omitted_but_needed,
17,OpenEvidence,B145,B145-O01,omitted,非藥物措施／疼痛控制,omitted_but_needed,
18,ChatGPT,B126,B126-M01,stated,midazolam,imprecise,
18,ChatGPT,B126,B126-M02,stated,dexmedetomidine,imprecise,
18,ChatICU,B132,B132-M01,stated,midazolam,imprecise,
18,OpenEvidence,B105,B105-M01,stated,dexmedetomidine,correct,
18,OpenEvidence,B105,B105-M02,stated,midazolam,imprecise,
19,ChatGPT,B079,B079-O01,omitted,propofol,omitted_but_needed,
19,OpenEvidence,B204,B204-M01,stated,quetiapine,imprecise,
19,OpenEvidence,B204,B204-O01,omitted,propofol,omitted_but_needed,
21,ChatGPT,B175,B175-O01,omitted,melatonin,omitted_but_needed,
21,ChatGPT,B175,B175-O02,omitted,ramelteon,omitted_but_needed,
21,ChatICU,B084,B084-O01,omitted,melatonin,omitted_but_needed,
21,ChatICU,B084,B084-O02,omitted,ramelteon,omitted_but_needed,
21,OpenEvidence,B195,B195-M01,stated,doxepin,incorrect,Mild
21,OpenEvidence,B195,B195-M02,stated,ramelteon,imprecise,
21,OpenEvidence,B195,B195-O01,omitted,melatonin,omitted_but_needed,
21,OpenEvidence,B195,B195-O02,omitted,ramelteon,omitted_but_needed,
22,OpenEvidence,B065,B065-M01,stated,fentanyl/midazolam（SAT恢復時）,unsafe,Moderate
22,OpenEvidence,B065,B065-M02,stated,PSV（SBT支持模式）,correct,
