question_id,system,blind_id,core_correctness,hallucination,semantic_fidelity,tfidf_cosine,char_length,dim_drug_choice,dim_deescalation_stop_rule,dim_interaction_contraindication,dim_route_formulation,dim_organ_function_adjustment,dim_titration_target,dim_monitoring_parameter,dim_drug_choice_severity,dim_deescalation_stop_rule_severity,dim_interaction_contraindication_severity,dim_route_formulation_severity,dim_organ_function_adjustment_severity,dim_titration_target_severity,dim_monitoring_parameter_severity,n_dose_mentions,n_omitted_but_needed,n_hallucinated_statements
1,ChatGPT,B121,fully_correct,0,85,0.2740546789985421,967,adequate,incorrect,not_applicable,not_applicable,adequate,not_applicable,adequate,,Mild,,,,,,1,2,0
1,ChatICU,B059,fully_correct,0,95,0.3460158450754196,1164,adequate,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,2,1,0
1,OpenEvidence,B147,fully_correct,0,92,0.2611286126347213,1054,adequate,adequate,not_applicable,not_applicable,adequate,not_applicable,adequate,,,,,,,,3,1,0
2,ChatGPT,B026,fully_correct,0,92,0.3945350336925655,1198,adequate,incorrect,not_applicable,adequate,adequate,not_applicable,adequate,,Mild,,,,,,1,1,0
2,ChatICU,B089,fully_correct,0,96,0.4856107072468878,941,adequate,adequate,not_applicable,adequate,adequate,not_applicable,adequate,,,,,,,,3,0,0
2,OpenEvidence,B085,fully_correct,1,85,0.2504642526785637,1355,adequate,adequate,not_applicable,adequate,adequate,incorrect,adequate,,,,,,Mild,,2,1,1
3,ChatGPT,B104,fully_correct,0,95,0.13407487106231,1472,adequate,adequate,not_applicable,adequate,adequate,adequate,adequate,,,,,,,,3,0,0
3,ChatICU,B028,fully_correct,0,100,0.2388768390122608,993,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,0,0
3,OpenEvidence,B124,fully_correct,0,90,0.1194407294396924,1829,adequate,adequate,adequate,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,0,0
4,ChatGPT,B030,fully_correct,0,90,0.2720043178013881,1196,adequate,not_applicable,adequate,not_applicable,adequate,not_applicable,not_applicable,,,,,,,,0,0,0
4,ChatICU,B181,fully_correct,0,95,0.2749154549820369,965,adequate,not_applicable,adequate,not_applicable,adequate,not_applicable,not_applicable,,,,,,,,0,0,0
4,OpenEvidence,B073,fully_correct,0,90,0.269829483825702,2068,adequate,not_applicable,adequate,not_applicable,adequate,not_applicable,adequate,,,,,,,,0,0,0
5,ChatGPT,B172,fully_correct,0,90,0.1524823626319023,1274,adequate,adequate,not_applicable,adequate,not_applicable,adequate,incorrect,,,,,,,Mild,0,0,0
5,ChatICU,B158,fully_correct,1,85,0.2475565500511395,1010,adequate,not_applicable,adequate,adequate,not_applicable,incorrect,incorrect,,,,,,Mild,Mild,0,0,1
5,OpenEvidence,B101,partially_correct,1,45,0.1289704459070172,2621,incorrect,incorrect,adequate,adequate,not_applicable,incorrect,adequate,Moderate,Mild,,,,Mild,,0,1,2
6,ChatGPT,B159,partially_correct,1,55,0.2416471879259309,1307,incorrect,not_applicable,not_applicable,adequate,incorrect,adequate,not_applicable,Mild,,,,Mild,,,0,1,1
6,ChatICU,B198,fully_correct,0,90,0.2390144876867365,989,adequate,not_applicable,adequate,adequate,not_applicable,adequate,adequate,,,,,,,,0,0,0
6,OpenEvidence,B074,partially_correct,1,55,0.1569340147941396,1634,incorrect,adequate,adequate,adequate,not_applicable,adequate,adequate,Moderate,,,,,,,2,1,2
7,ChatGPT,B071,partially_correct,1,40,0.337206523588327,1403,incorrect,incorrect,adequate,not_applicable,not_applicable,adequate,adequate,Moderate,Moderate,,,,,,0,1,2
7,ChatICU,B169,fully_correct,0,92,0.4315437917821362,982,adequate,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
7,OpenEvidence,B182,partially_correct,0,45,0.3236562150749388,3062,incorrect,incorrect,adequate,not_applicable,not_applicable,adequate,adequate,Moderate,Moderate,,,,,,0,1,0
8,ChatGPT,B178,partially_correct,0,55,0.1404470280460538,897,not_applicable,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,1,0
8,ChatICU,B127,fully_correct,1,90,0.2801384639203875,905,not_applicable,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,1
8,OpenEvidence,B130,fully_correct,1,85,0.2164279999958556,1424,not_applicable,not_applicable,incorrect,not_applicable,adequate,not_applicable,adequate,,,Mild,,,,,0,0,1
9,ChatGPT,B034,fully_correct,0,95,0.3126802171610204,1298,adequate,not_applicable,not_applicable,adequate,not_applicable,adequate,adequate,,,,,,,,0,0,0
9,ChatICU,B057,fully_correct,0,95,0.377026341599621,722,adequate,not_applicable,not_applicable,adequate,not_applicable,not_applicable,not_applicable,,,,,,,,0,0,0
9,OpenEvidence,B053,fully_correct,0,95,0.1848416794874741,2027,adequate,not_applicable,adequate,adequate,not_applicable,not_applicable,not_applicable,,,,,,,,0,0,0
10,ChatGPT,B076,fully_correct,0,95,0.2794056385466783,1377,adequate,not_applicable,not_applicable,adequate,not_applicable,not_applicable,not_applicable,,,,,,,,1,0,0
10,ChatICU,B185,fully_correct,0,95,0.3395173861499848,834,adequate,not_applicable,not_applicable,adequate,not_applicable,adequate,not_applicable,,,,,,,,1,0,0
10,OpenEvidence,B009,fully_correct,1,90,0.3065803519486302,1659,adequate,not_applicable,adequate,adequate,not_applicable,adequate,incorrect,,,,,,,Mild,1,0,1
11,ChatGPT,B036,partially_correct,0,55,0.1600253228229924,1348,incorrect,incorrect,not_applicable,not_applicable,adequate,adequate,adequate,Moderate,Moderate,,,,,,0,1,0
11,ChatICU,B184,fully_correct,0,100,0.3329353019715489,910,adequate,adequate,not_applicable,not_applicable,adequate,not_applicable,adequate,,,,,,,,0,0,0
11,OpenEvidence,B017,incorrect,1,20,0.1186579165169306,2470,incorrect,unsafe,not_applicable,not_applicable,adequate,incorrect,adequate,Moderate,Severe,,,,Moderate,,2,2,4
12,ChatGPT,B011,partially_correct,0,55,0.206565528742738,1392,incorrect,adequate,incorrect,incorrect,not_applicable,adequate,incorrect,Moderate,,Moderate,Mild,,,Moderate,1,2,0
12,ChatICU,B188,fully_correct,0,80,0.3378609566232371,950,adequate,incorrect,incorrect,adequate,not_applicable,not_applicable,incorrect,,Mild,Moderate,,,,Moderate,0,3,0
12,OpenEvidence,B044,partially_correct,1,55,0.2053220410268409,3076,incorrect,adequate,adequate,incorrect,not_applicable,adequate,adequate,Moderate,,,Mild,,,,2,2,1
13,ChatGPT,B082,fully_correct,0,90,0.187083915569506,1299,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,0,0
13,ChatICU,B031,fully_correct,0,96,0.3679802649836752,919,adequate,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
